Rk,Yr,Ht,Player,Team,Conf,G,Role,Min%,PRPG!,D-PRPG,BPM,OBPM,DBPM,ORtg,D-Rtg,Usg,eFG,TS,OR,DR,Ast,TO,Blk,Stl
1,Fr,6-9,Cameron Boozer,Duke,ACC,38,Stretch 4,83.6,7.6,5.6,17.1,12,5.1,131.4,85.7,30.6,60.7,65.3,12.5,22.1,25.6,14.7,2.2,2.5
2,Sr,6-2,Bruce Thornton,Ohio St.,B10,34,Combo G,90.3,7.2,4.2,11.6,8.9,2.7,136.3,100.9,23.2,62.6,66.5,3.3,13.5,21.9,9.2,0.8,1.9
3,Fr,6-3,Darius Acuff Jr.,Arkansas,SEC,36,Scoring PG,84.3,6.7,3.5,8.9,8.9,0,125.9,105.7,29.5,56.1,60.4,1.6,8.3,32.2,11.6,0.9,1.3
4,Fr,6-9,AJ Dybantsa,BYU,B12,35,Wing F,86.6,6.6,4,10.1,9,1.1,118.6,100.8,33.5,55,60,4.7,16.9,22.1,15,1.1,1.7
5,Fr,6-6,Keaton Wagler,Illinois,B10,37,Combo G,83.7,6.5,4.2,11,8.2,2.8,130.2,97.9,25.7,54.1,59.6,6.7,10,23.2,12.5,1.3,1.7
6,Fr,6-2,Ebuka Okorie,Stanford,ACC,31,Scoring PG,82.2,6.3,3.7,9.6,8,1.6,122.6,104,30.1,52.8,58.9,2.4,10.3,23.9,10.4,1,2.7
7,Sr,6-4,Bennett Stirtz,Iowa,B10,37,Scoring PG,94,6.2,4.4,9.1,7.2,1.9,123.3,100.6,26.1,56.5,60.7,1,8.7,24.9,11.9,0.9,2.3
8,So,6-3,Christian Anderson,Texas Tech,B12,33,Pure PG,92.7,6.1,4.5,8.3,6.7,1.6,123.1,100.6,25.2,59.7,62.6,1.8,8.5,35.2,20.2,0.7,2.2
9,Sr,6-7,Nick Martinelli,Northwestern,B10,33,Wing F,86.1,6,3.8,7.3,7.3,0.1,120.9,103.5,29.4,55.2,60.2,7.8,13.5,13.2,8.4,1.2,1.4
10,So,6-4,Labaron Philon,Alabama,SEC,33,Scoring PG,72.3,6,3.3,10.3,9.1,1.2,124.3,103.2,29.9,58.5,62.6,1.9,9.2,31.9,14.8,0.5,2
11,Jr,6-2,Jeremy Fears Jr.,Michigan St.,B10,35,Pure PG,80.5,5.9,4.3,10.2,6.8,3.4,127,96,27.1,47.9,57.6,1.6,7,53,16.5,0.1,2.4
12,Sr,6-9,Yaxel Lendeborg,Michigan,B10,40,Stretch 4,75.1,5.8,5,15.1,9.2,5.9,137.5,86.8,20.5,60.2,64.7,8,16,18,9.5,4.4,2.1
13,So,6-0,Tyler Tanner,Vanderbilt,SEC,36,Scoring PG,83.1,5.8,4.3,11.4,7.4,4,125.9,96.9,26.3,54.9,61.2,1.5,10.8,28.9,12.2,1.1,4.1
14,Sr,6-3,Nick Boyd,Wisconsin,B10,35,Scoring PG,78.7,5.8,3.4,8.5,7.2,1.3,122.4,103.2,30.1,53.8,58.8,2.8,10.9,28.8,10.2,0.1,1.9
15,Sr,6-0,Boopie Miller,SMU,ACC,33,Pure PG,85.1,5.6,3.5,6.4,5.6,0.8,124.2,105.4,25.8,54.3,60.6,1.8,10,30.6,16,0.2,2.3
16,Fr,6-11,Hannes Steinbach,Washington,B10,30,PF/C,77.9,5.6,4.7,9,7,1.9,125.9,95.2,24.4,60.2,63.6,14.3,25,9.1,13.7,3.9,1.8
17,Jr,6-0,Colby Garland,San Jose St.,MWC,28,Scoring PG,77.2,5.3,2.1,4.4,5.5,-1.1,118.4,117.2,29.5,52.5,58,1.9,10.1,31.9,12.5,0.1,2
18,Sr,6-7,Cade Tyson,Minnesota,B10,32,Wing G,88,5.3,3.9,6,5.5,0.5,124,103.7,24.3,59.3,65,5.1,13.6,13.5,11.4,0.7,1.3
19,Sr,6-0,Braden Smith,Purdue,B10,39,Pure PG,85.9,5.3,4.3,8.8,6.4,2.4,119.7,98.6,26.5,51.1,55.1,2.4,10.3,43,19.5,0.7,3
20,Sr,6-5,Donovan Atwell,Texas Tech,B12,34,Combo G,86.3,5.3,3.9,8.1,5.7,2.5,142,101.4,13.1,67,68.3,2.5,7.9,3.9,5.3,0.4,2
21,Fr,6-10,Caleb Wilson,North Carolina,ACC,24,PF/C,56.7,5.3,4.6,12.7,8.2,4.6,123.1,92.2,28.8,59,62.6,10.5,22.2,18.1,12.6,4.4,2.8
22,Sr,6-7,Keyshawn Hall,Auburn,SEC,36,Wing F,78.9,5.3,3.4,6.3,6.2,0.2,120.7,104.7,26.5,52.2,60.6,6,18.9,15,16.3,2.2,1.2
23,Jr,6-9,JT Toppin,Texas Tech,B12,25,PF/C,63.8,5.3,5,8.5,5.7,2.8,114.8,93,30.6,56.7,57.1,14,21,13.8,13.7,5.1,2.3
24,Sr,6-5,Richie Saunders,BYU,B12,25,Wing G,55.8,5.2,3.7,9,7.1,1.8,127.9,100,23.8,59.3,63.2,6.7,13.5,12.2,12.4,1,3.1
25,Jr,6-3,Dior Johnson,Tarleton St.,WAC,19,Combo G,43.6,5.2,2.1,9.5,9.4,0.1,122.7,110.4,36.5,57.1,64.3,3.3,12.2,18.6,12.9,0.5,2.5
26,Jr,6-1,Aden Holloway,Alabama,SEC,28,Scoring PG,56.4,5.1,2.9,7.8,7.4,0.4,130.9,104.9,23.1,59.9,64.3,1.1,8.3,24,12.1,0,1.2
27,Jr,6-8,Milan Momcilovic,Iowa St.,B12,37,Wing F,76.2,5.1,4.2,10.2,7.8,2.4,136.9,95,18.1,67.2,69.3,0.8,11.5,6.1,8.8,1,1.6
28,So,6-1,Robert Wright III,BYU,B12,35,Scoring PG,86.7,5.1,3.7,5.2,4.9,0.4,118.6,104,25.2,52.6,56.8,2.9,8.1,24.2,14.4,0.1,2
29,Jr,6-7,Pryce Sandfort,Nebraska,B10,35,Wing G,83.3,5.1,4.8,10.5,7.4,3,128.7,92.9,21,62.1,64.4,2.3,14.2,12.1,5.9,1.1,1.8
30,Sr,6-11,Oscar Cluff,Purdue,B10,39,C,61.6,5,3.2,10,7,3,143.5,96.8,19.2,68.3,69.4,17.5,20.5,12.5,10.3,4.7,1.2
31,Sr,6-1,Ja'Kobi Gillespie,Tennessee,SEC,37,Pure PG,86,5,4.8,9.9,6,3.9,119.9,94.4,25.7,50.1,53.8,1.9,7.2,30.2,15.3,0.8,3.6
32,Sr,6-6,Lamar Wilkerson,Indiana,B10,32,Wing G,83.9,5,3.8,7.2,6.2,0.9,118.7,101.9,27.2,56.9,60.9,1.6,10.8,15.9,10.4,0.6,1.7
33,Sr,6-8,Ven-Allen Lubin,N.C. State,ACC,34,C,69.5,5,3,6.1,5.7,0.4,138.9,103.1,19.3,67.4,69.6,11.8,17.1,5.9,8.8,4,1
34,Fr,6-4,Kingston Flemings,Houston,B12,37,Scoring PG,78.9,5,4.9,11.4,6.3,5.2,121.1,89.5,26.5,52,56.3,1.8,12.9,32.6,13.1,1.3,3
35,Sr,6-9,Zuby Ejiofor,St. John's,BE,37,PF/C,74.7,5,4.5,13.5,8.1,5.4,122.3,90.5,26.4,56,60.9,12.1,14.7,23,15.1,7.2,2.2
36,So,6-7,Juke Harris,Wake Forest,ACC,35,Wing G,86.9,5,3.7,5.9,5.9,0.1,117.7,103.4,27.3,52.7,58.1,4.3,17.6,11.6,10,0.7,2.1
37,Sr,6-9,Graham Ike,Gonzaga,WCC,31,PF/C,68.9,4.9,4.9,9.4,6.2,3.3,124.4,89.2,26.5,59.1,62.7,7.9,20.2,13.7,12.4,3.3,1.4
38,Jr,6-4,John Blackwell,Wisconsin,B10,34,Wing G,80.8,4.9,3.7,6.7,5.6,1.1,119.3,102,25.6,53.4,59.3,4.1,13.1,13.3,11.3,0.3,1.9
39,Sr,6-9,Tyler Bilodeau,UCLA,B10,31,Stretch 4,64.3,4.9,3.5,7.9,7,0.9,126.5,100.9,23.7,60.9,65.6,4.7,18,7.4,11,1.5,1
40,Jr,6-8,Dailyn Swain,Texas,SEC,35,Wing F,81.9,4.9,4,9.5,6.6,2.9,121.6,99.5,25.5,57.8,63.3,6.2,20.7,21.3,18.4,1,2.8
41,Jr,6-8,Paulius Murauskas,Saint Mary's,WCC,32,Stretch 4,81.4,4.9,4.4,6.7,4.5,2.2,121.6,95.6,26.6,52.1,58.9,7.6,19.5,14.2,13,1.9,1
42,Sr,6-9,Mark Mitchell,Missouri,SEC,33,Wing F,83.8,4.9,3.3,7.1,6.5,0.6,121.1,106.4,25.9,57.2,60.6,6.3,11.8,21.2,13.8,1.7,1.2
43,Jr,6-0,Barrington Hargress,Colorado,B12,33,Scoring PG,80.3,4.8,2.7,5.1,4.7,0.4,130.3,109.8,19.6,61,64.3,1,6.8,26.2,11.2,0.3,1.6
44,Jr,6-9,Thomas Haugh,Florida,SEC,34,Wing F,80.9,4.8,4.8,9.7,6,3.7,126.6,92.4,21,53.3,58.6,7,12.3,10.5,11.8,2.9,1.8
45,Fr,6-1,Isaiah Johnson,Colorado,B12,32,Combo G,73.4,4.8,2.6,6.7,6.4,0.3,126,109.4,23.7,57.1,63.4,3.2,7.7,18.6,11.3,0.1,1.9
46,Jr,6-7,Jack Karasinski,Bellarmine,ASun,30,Wing F,74.2,4.8,0.8,3.3,7.9,-4.6,129.5,126.8,29.2,65.5,69.3,5,15.7,8.6,9.9,1.3,1.2
47,So,6-5,Cameron Carr,Baylor,B12,33,Wing G,84.4,4.8,3.6,8,6.4,1.6,118.9,103.4,24.3,57.6,61.8,2.3,17.6,13.7,16.8,3.9,1.6
48,Sr,6-3,Quinn Denker,Northern Colorado,BSky,27,Scoring PG,81.7,4.8,2.7,5.1,4.9,0.1,121.1,112.2,29,53.4,58,2.4,14.7,37.1,12.7,1.1,1.1
49,Jr,7-0,Henri Veesaar,North Carolina,ACC,31,Stretch 4,73.5,4.7,4.2,9.6,6.5,3.1,125.6,95.3,22.7,66.7,66.4,8.1,21.9,13.6,13.7,3.8,1.1
50,Fr,6-5,Darryn Peterson,Kansas,B12,24,Wing G,49.4,4.7,4.3,12.4,8.4,4,114.1,91.3,30.9,52.7,57.8,2.9,11.8,12.5,10.4,2.3,2.9
51,Sr,6-9,Trey Kaufman-Renn,Purdue,B10,37,C,66.5,4.6,3.5,7.1,5.5,1.5,123.7,98,24.9,58,59,13.2,23.7,17.2,12.3,1,0.8
52,Sr,5-10,Dominique Daniels Jr.,Cal Baptist,WAC,33,Combo G,87.1,4.6,3.8,6.4,5.1,1.3,114.2,104.2,31.1,48.6,54.1,2.4,9.4,21.3,12.9,0.3,1.6
53,Sr,6-8,Ethan Potter,Utah Tech,WAC,31,PF/C,78.6,4.6,2.5,4,4.9,-0.9,126.4,111.6,23.7,59.9,63.5,9.3,19.6,13.6,10.7,2.7,1.1
54,Jr,7-0,Nolan Winter,Wisconsin,B10,31,Stretch 4,67.1,4.6,3.6,8.2,6,2.2,133.4,99.9,17.8,62.6,64.8,8.5,23.2,9.5,8.6,4.5,0.9
55,Sr,6-4,Fletcher Loyer,Purdue,B10,39,Combo G,73.1,4.6,3.2,8.1,6.7,1.4,130.7,102.4,19.2,60.2,64.4,0.8,9,11.7,10.9,0.2,1.5
56,Sr,6-2,Duke Miles,Vanderbilt,SEC,28,Pure PG,57.1,4.5,4,10.1,5.4,4.6,121.9,94.8,25.7,51.3,59.5,0.9,10.7,27.4,13.7,0.8,5
57,Sr,6-3,Emanuel Sharp,Houston,B12,37,Combo G,73.3,4.5,4.3,9.4,5.6,3.8,124.6,92.5,23.2,52.7,58.2,3,8.6,11.1,8.8,0.4,2.5
58,Jr,6-4,Mason Falslev,Utah St.,MWC,35,Combo G,80.9,4.4,4.1,8.8,5.8,3,122.5,97.7,22.9,56.9,60.3,5.5,15.3,17.9,12.3,1,3.6
59,Fr,6-4,Brayden Burries,Arizona,B12,39,Wing G,74.3,4.4,4.7,10.4,5.5,4.9,125.2,88.9,21.6,57.2,61.6,2.1,14.5,14.2,12.7,0.7,2.8
60,Sr,6-7,Nick Townsend,Yale,Ivy,28,Wing G,80.8,4.4,3.1,6,5.8,0.2,123,107.8,25.7,57.5,61.6,8.2,17.8,24.3,16.8,0.5,1.9
61,Sr,6-3,Cruz Davis,Hofstra,CAA,33,Scoring PG,95.6,4.4,3.5,4.2,3.5,0.8,115.8,107.9,27.2,50.7,55.6,1.2,8.7,26.4,14.7,1,1.7
62,Sr,5-11,Tavari Johnson,Akron,MAC,33,Scoring PG,80.7,4.4,2.8,5.1,5.2,-0.1,122.6,109,27.8,58.1,61.7,2.1,7.7,28.2,16.2,1,2.1
63,Sr,6-5,Jaylin Sellers,Providence,BE,33,Wing G,73,4.4,2.5,5.6,5.9,-0.3,121,109.8,25.2,56.7,61.5,3.7,11.1,10.6,12.9,0.8,1.7
64,Sr,6-9,Joshua Jefferson,Iowa St.,B12,35,Wing F,73.1,4.4,5.1,11.6,6.1,5.5,115.2,87.2,28.6,51.7,56,7.2,21.8,27.7,16.7,3.4,3.1
65,So,6-9,Flory Bidunga,Kansas,B12,35,C,78.3,4.4,5,9.3,4.3,5.1,123.4,88.8,19.6,64,64.7,11.2,18.4,9.7,14.6,9,1.4
66,Sr,6-2,Kylan Boswell,Illinois,B10,30,Combo G,60.1,4.4,3.6,5.8,3.4,2.4,126.3,99.8,20.6,50.7,55.9,5.5,9.3,17.7,10.9,0,1.5
67,Sr,6-8,Alex Karaban,Connecticut,BE,40,Wing F,85.1,4.4,4.6,7.8,4.9,2.9,125.6,95.2,17.6,55.9,59,6.4,11.8,12.4,10.8,2.8,1.5
68,Fr,6-9,David Mirkovic,Illinois,B10,37,Stretch 4,72.7,4.4,4,8.4,5.8,2.5,122.7,95.1,23.3,56.2,59.1,10,20.2,16.2,16.9,1.5,0.9
69,So,6-9,Morez Johnson Jr.,Michigan,B10,40,PF/C,62.6,4.3,4.2,10.1,5.7,4.4,131.1,86.4,21.1,64.2,67.7,12.8,18.9,8.4,14,4.8,1.5
70,Sr,6-3,Tre Donaldson,Miami FL,ACC,35,Scoring PG,85.1,4.3,3.9,6.2,4.6,1.6,118.9,101,24.4,52,55.3,2.2,10.4,29.6,14.6,0.7,2.3
71,Sr,6-4,MJ Collins,Utah St.,MWC,35,Combo G,77.3,4.3,3,5.2,5.3,-0.1,124,106,22.4,57,61.1,2,7.1,10,8.6,0.3,1.6
72,Jr,6-5,Ryan Prather Jr.,Robert Morris,Horz,31,Combo G,85.2,4.3,2.6,5,4.9,0,132.2,112,20.6,54.7,57.8,5,8.4,20.4,7.1,0.2,1.5
73,Sr,6-1,Tamin Lipsey,Iowa St.,B12,34,Scoring PG,72.2,4.3,4.9,9.9,4.7,5.2,120.3,89.9,22.9,51.6,54,5.2,9.8,28,12.4,0.1,4.2
74,Jr,6-4,PJ Haggerty,Kansas St.,B12,31,Combo G,85.2,4.3,3.4,3.2,3.5,-0.4,107,106.5,32,52.5,55.7,3.9,12.8,22.9,15.9,0.1,1.8
75,Sr,5-10,Nijel Pack,Oklahoma,SEC,37,Scoring PG,75.3,4.3,2.7,7.2,7.2,0,122.7,108.5,24,60.2,62,1.8,9.4,20.8,14.6,1.1,1.4
76,Sr,6-10,Tarris Reed Jr.,Connecticut,BE,35,C,59.4,4.3,4.6,11.6,6.2,5.4,119.6,85.1,26.5,60.7,61.4,14.2,24.5,17.8,15.6,8.4,2
77,So,6-5,Teagan Moore,Western Kentucky,CUSA,25,Wing G,61.1,4.3,2.7,6.7,6.4,0.3,125.7,107.5,26.5,59.3,65.3,7.2,13.5,14,12.9,1.3,1.9
78,Jr,6-1,Dra Gibbs-Lawhorn,UNLV,MWC,34,Combo G,85.2,4.3,2.9,5.2,5.3,-0.1,116.6,109.6,25.6,59.1,62.1,1.6,9,15.7,15.4,1.7,2.3
79,Jr,6-0,Josh Hubbard,Mississippi St.,SEC,32,Scoring PG,82.4,4.3,2.9,5.2,5.6,-0.3,109.8,108.6,31.4,50.6,54.4,0.9,6.8,22.5,12.6,0.3,2
80,Jr,6-5,Kevin Overton,Auburn,SEC,38,Wing G,78.5,4.3,3,4.6,4,0.6,128.4,107,17.7,57.2,61.6,2.8,9.6,7.3,10.6,0.8,2.1
81,So,6-2,Daniel Freitag,Buffalo,MAC,21,Scoring PG,58.2,4.3,2.2,3.8,4.8,-1,118.8,115.3,29.1,50.7,58.6,2.4,13.6,23.5,11.2,1.2,2.4
82,So,6-0,Carson Johnson,Denver,Sum,29,Combo G,90.1,4.2,1,-0.3,3.4,-3.7,121.7,126.4,24.4,53,58.6,0.6,5.7,15.5,9.5,0.2,0.8
83,So,6-6,Isaac Celiscar,Yale,Ivy,29,Wing G,78,4.2,2.8,5.4,4.7,0.7,132.6,108.6,19.8,61.1,65.3,7.4,17,18.4,13.5,1.2,1.5
84,Sr,6-9,Malik Reneau,Miami FL,ACC,35,PF/C,72.5,4.2,3.7,7.3,5.4,1.9,116.4,98,30.1,57,61.8,10.2,16.6,13.8,18.6,3.3,2.1
85,Sr,5-11,Brody Robinson,Oakland,Horz,31,Pure PG,90.8,4.2,2.1,2,4,-2,120.3,117.8,24.2,51.8,60.2,0.9,7.6,31.4,16.4,0.1,2
86,Jr,5-10,Tijan Saine Jr.,Weber St.,BSky,30,Scoring PG,83.1,4.2,2.1,3.1,4.5,-1.3,123.9,116.6,24.5,52.2,60.7,1,7.3,25,12.9,0,1.8
87,Jr,6-1,Tariq Francis,Rutgers,B10,34,Scoring PG,68.7,4.2,2.5,6.9,5.6,1.2,117.4,108.1,29.3,47.9,55.9,1.3,8.7,25.7,8.7,0.1,2.2
88,Jr,6-3,Terrence Brown,Utah,B12,32,Scoring PG,78.6,4.2,2.6,3.1,3.7,-0.7,108.1,110.6,32.9,48.6,54,1.3,7.6,27.7,13.7,0.3,2.6
89,Jr,6-4,Jake Fiegen,Cornell,Ivy,22,Wing G,57.5,4.1,1.5,5.2,7.2,-2,130.6,118.1,23.9,63.9,66.1,7.1,15.3,14.4,9.8,1.4,2
90,Sr,6-4,Jayden Stone,Missouri,SEC,26,Wing G,58.8,4.1,3.3,7.2,5.7,1.5,130,102.3,18.2,59.3,63.3,3.5,16.1,11.6,10.5,0.9,1.7
91,Sr,6-10,Logan Duncomb,Winthrop,BSth,30,C,59.8,4.1,2.4,8.1,7.7,0.3,125.5,106.2,31.4,58.7,64.5,14.8,22.6,15.6,13.8,3.7,1.8
92,Fr,6-9,Allen Graves,Santa Clara,WCC,34,Stretch 4,57,4.1,3.1,12.7,8.5,4.2,135.4,94.6,22.4,58.2,61.5,13.9,20,13.8,8.2,5,4.9
93,Sr,6-10,Duke Brennan,Villanova,BE,32,C,74.2,4.1,3.9,5.9,4.3,1.7,122.8,97.3,21.1,65.8,65.4,15.1,24,12,18.3,1.9,1.6
94,Sr,6-2,Jed Miller,Montana St.,BSky,29,Wing G,89.1,4.1,3.3,4.8,4,0.8,126.8,108,20.4,57.8,61.3,5.8,13.6,15,10.9,0.4,2.5
95,Sr,6-1,Don McHenry,Utah,B12,32,Combo G,76.9,4.1,2.3,4,5.4,-1.4,118.6,113.3,24,53.7,57.7,2,8.5,12,7.9,0,1.2
96,So,6-8,DeSean Goode,Robert Morris,Horz,31,PF/C,76.8,4.1,3,6.1,5.6,0.5,135.7,106.1,19.7,69.9,71.4,11.5,21.3,8.5,14.3,1.9,1.6
97,So,6-5,"Paul McNeil, Jr.",N.C. State,ACC,34,Wing G,70.7,4.1,2.8,6.3,6.4,-0.1,131.3,105.9,18.2,59.7,63.5,3.2,11,5.2,4.6,1.7,1.2
98,Sr,5-10,Daeshun Ruffin,Jackson St.,SWAC,28,Pure PG,70.8,4.1,1.6,2.6,4.2,-1.7,107.9,120.6,36.2,47.2,55.3,1.7,7.5,45.2,17.4,0.5,2.7
99,So,6-5,Gavin Doty,Siena,MAAC,35,Wing G,91.6,4.1,3.5,4.8,4.1,0.6,122,106.7,23.4,50.8,57,5,17.4,13.1,7.3,0.2,2.1
100,So,6-3,Terrence Hill Jr.,VCU,A10,36,Scoring PG,62.3,4.1,2.5,7.5,7,0.4,128,106,25,57.6,62.2,1.4,10.4,23.9,10.2,0.2,1.3
101,Fr,6-5,Tounde Yessoufou,Baylor,B12,33,Wing G,81.7,4,3.6,4.9,3.9,1,113,102.8,25.4,51.1,54.1,8.7,12,8.9,13.1,1.9,3.3
102,So,6-3,Joshua Dent,Saint Mary's,WCC,32,Pure PG,91.1,4,4.6,5.8,2.8,3,122.1,97.8,19,55.6,60.9,1,6.7,28.8,20.4,0.5,2.6
103,Fr,6-4,Jake Hall,New Mexico,MWC,36,Combo G,78.6,4,3.4,5.9,5.2,0.7,125.8,103.4,19.9,61,63.3,2,9.5,9.9,9.8,0.1,1.5
104,Sr,6-6,Quadir Copeland,N.C. State,ACC,34,Pure PG,71.3,4,3.3,6.3,3.7,2.6,116.2,100.8,28.1,53,59.2,2.4,11.9,41.8,20.1,0.6,3.6
105,So,6-1,John Mobley Jr.,Ohio St.,B10,31,Scoring PG,71.4,4,3.2,5.5,5.3,0.1,117.8,104.9,23.5,56.7,60.4,1.5,7.7,17,14.9,0.4,1.4
106,Sr,6-2,Miles Barnstable,Tulsa,Amer,36,Wing G,75.7,4,2.7,5.2,5,0.2,131.6,108.4,18.4,59.7,64.5,3.7,10.3,8.7,9.7,1.3,1.5
107,Fr,6-6,Lewis Walker,North Carolina A&T,CAA,28,Wing G,85.5,4,1.9,1.1,3.1,-1.9,124.1,118.4,23.3,54.9,63.5,3.4,12.9,10.9,12.6,0.2,1.1
108,Sr,6-3,Ryan Conwell,Louisville,ACC,34,Combo G,75,4,4,5.9,4.3,1.5,113.2,96.7,27.5,52.1,56.6,2.3,14.4,16.5,14.2,0.6,2
109,So,6-6,Isaiah Evans,Duke,ACC,38,Wing G,70.5,3.9,4.1,8.2,5.8,2.4,122.4,92.2,21.8,55,59,1.7,10.7,8.4,11,2.9,1.5
110,Fr,6-1,Preston Edmead,Hofstra,CAA,33,Scoring PG,85.6,3.9,2.9,3.7,4,-0.3,118.6,110.4,25,51.4,57.1,2.7,8.6,25.4,15.7,0,0.8
111,Sr,6-5,Corey Camper Jr.,Nevada,MWC,33,Wing G,71,3.9,3.4,7.2,5.7,1.5,119.1,103.5,23.6,53.6,57.4,3.7,13.7,18.7,9.7,1.1,2.1
112,Sr,6-2,Jadin Booth,Samford,SC,29,Combo G,88.2,3.9,2.6,3.7,4.7,-1,122.7,113.8,24,59.4,64.2,0.9,10.4,12.7,10.4,0.2,1.8
113,Fr,6-5,Meleek Thomas,Arkansas,SEC,37,Combo G,75.2,3.9,3.4,5.9,4.3,1.6,120.3,101.9,22.1,52.2,55.9,3.5,10.8,13.2,8.2,0.6,2.8
114,Fr,6-5,Mikel Brown Jr.,Louisville,ACC,21,Scoring PG,43.8,3.9,3.7,5.4,4.2,1.2,111.9,98.3,31,51.1,57.7,0.2,12.1,30.3,19.3,0.5,2.4
115,Jr,6-4,Rowan Brumbaugh,Tulane,Amer,32,Combo G,89.5,3.9,2.8,3.5,3.9,-0.4,112.3,111.8,27,52.2,59.1,2.9,12.2,23.2,14.3,0.6,2.5
116,Sr,6-4,Otega Oweh,Kentucky,SEC,36,Combo G,81.6,3.9,4.2,5.9,3.3,2.6,111.2,97,27.1,51,55.4,3.3,12.9,16.3,13.3,0.9,3.1
117,Sr,6-10,Izaiyah Nelson,South Florida,Amer,33,C,67.2,3.9,3.8,8.6,5.7,2.8,126.3,94,23.7,56.5,60.9,14.4,21,8.8,11.2,5.9,3.3
118,So,7-0,Matas Vokietaitis,Texas,SEC,35,C,65,3.9,2.8,3.5,3.4,0,118.7,103.2,27.7,61,63.9,12.2,19.5,5.1,16.3,3.4,0.4
119,Sr,6-0,Sam Hoiberg,Nebraska,B10,35,Scoring PG,80.3,3.8,5.1,8.1,1.7,6.4,129.7,88.8,15.3,61.1,63.1,3.5,15,24.4,14.6,0.4,3.7
120,Jr,6-11,Alex Condon,Florida,SEC,34,PF/C,74.2,3.8,4.6,9.5,4.8,4.8,117.6,90.9,23.6,56.9,59.4,8.2,17.4,20,18.7,4.6,1.2
121,Sr,6-7,Chad Baker-Mazara,USC,B10,25,Stretch 4,59.1,3.8,3.2,8,6.1,1.9,114.1,102.9,27.6,53.5,60,2.1,13.4,19.8,16.4,4.7,1.4
122,Jr,6-3,Baraka Okojie,Mercer,SC,29,Scoring PG,87.7,3.8,2.2,1.5,2.9,-1.3,116,116.7,29.4,47.5,57,2.1,7.3,28.5,15.5,0.2,2.2
123,Jr,6-4,Finley Bizjack,Butler,BE,31,Combo G,81,3.8,2.8,2.6,3.5,-0.9,116.7,109.9,22.3,51.4,57.7,1.8,5.5,14.6,13.1,0.3,1.2
124,Sr,6-6,Jakobi Heady,Bethune Cookman,SWAC,31,Wing G,88.4,3.8,2.6,3.7,3.7,0,123.2,112.8,21.4,58,64.5,4.7,11,10.4,13.5,0.4,2.3
125,Sr,6-7,J'Vonne Hadley,Louisville,ACC,34,Wing G,68,3.8,3.7,7.4,4.3,3.1,131.2,96.4,16.3,63.3,64.8,5.1,14.8,11.2,10.5,1.2,2
126,Sr,6-1,Benny Gealer,Stanford,ACC,33,Combo G,73.4,3.8,3.1,5.8,3.4,2.4,132.9,104,15,60.3,63.5,1.8,8.8,10.9,9.3,0.5,3.1
127,Sr,6-3,Nick Anderson,Rice,Amer,29,Wing G,73.9,3.8,2.2,5.9,5.9,0,125.5,113,22,56.5,60.4,3.6,12.6,8.4,9.6,1.1,2.4
128,Sr,6-10,KeShawn Murphy,Auburn,SEC,31,PF/C,48.2,3.8,2.9,8.1,6.3,1.8,130.1,99.2,20.1,58.9,61.8,12.7,20.7,10.5,11.3,4.6,2.3
129,Fr,6-10,Nate Ament,Tennessee,SEC,35,Wing F,69.5,3.8,4.2,7.2,4.5,2.7,113.3,93.2,27.8,45.2,53.4,6.7,17,14.8,16.2,2.7,1.9
130,Sr,6-3,Jaden Bradley,Arizona,B12,39,Scoring PG,76.2,3.8,4.5,7.5,3.2,4.4,119.3,91.7,21.1,49.9,56.8,1.8,9.5,23.2,15.1,0.3,2.6
131,Sr,6-2,Donovan Dent,UCLA,B10,35,Pure PG,82.8,3.8,4,4.9,3.1,1.8,109.5,100.3,26.3,43,46.7,1.7,8.6,41.6,12.4,1.3,3
