Rk,Yr,Ht,Player,Team,Conf,G,Role,Min%,PRPG!,D-PRPG,BPM,OBPM,DBPM,ORtg,D-Rtg,Usg,eFG,TS,OR,DR,Ast,TO,Blk,Stl
132,Sr,6-3,B.J. Edwards,SMU,ACC,28,Combo G,67.8,3.8,3.9,7.1,3.9,3.2,120.9,99.8,19.7,55.1,57.9,4.4,15.2,23.8,16.8,0.7,4
133,Sr,6-5,Anthony Roy,Oklahoma St.,B12,31,Wing G,62.9,3.8,2.6,5.3,6.2,-0.9,118.3,108.1,23.3,55.5,60.9,2.5,12.8,8.6,12.7,0.9,1
134,Sr,6-2,Camren Hunter,Central Arkansas,ASun,32,Combo G,77.9,3.8,2.7,6.5,6.4,0.1,120.3,109.6,29,58,61.3,4.2,12,19.8,11.6,1.2,2.5
135,Sr,6-7,Rashaun Agee,Texas A&M,SEC,34,Stretch 4,65.5,3.8,3.5,8.6,5.9,2.7,122.2,95.9,25.1,52.7,58.1,10.5,24.8,16.7,10.9,3.4,2
136,Sr,6-1,Keon Thompson,Stephen F. Austin,Slnd,32,Scoring PG,75.5,3.8,3.2,5,3.8,1.2,111.8,104.3,33.3,52.4,56,4,14.5,32.5,16.5,0.5,2.2
137,Sr,6-5,Tyler Lundblade,Belmont,MVC,31,Combo G,85.9,3.8,2.4,1.8,3.8,-2,127.8,114.2,17.5,59.7,64,0.6,7.6,8.8,8.8,0.1,0.5
138,Jr,6-2,Xzayvier Brown,Oklahoma,SEC,37,Combo G,79.8,3.8,3.1,4.3,3.4,0.9,118,106.6,22.7,52.6,57,1.4,9.8,19.1,13.1,0.7,2.3
139,Sr,6-7,Tre White,Kansas,B12,35,Wing F,77.8,3.8,4.3,6,3.8,2.2,115.9,94.8,21.3,53.5,60,7,14.9,10.7,16.1,1.3,1.1
140,Sr,6-10,Parsa Fallah,Oklahoma St.,B12,26,Wing F,48.4,3.7,2.8,6.5,5.4,1.1,123,103.9,22.2,62.3,64.2,9.8,14.8,6.3,12.4,1.9,2.4
141,Fr,6-9,Thijs De Ridder,Virginia,ACC,36,Stretch 4,68.2,3.7,3.5,6.2,4.8,1.4,118.6,97.3,26.5,55.9,59.1,9.9,14.7,11.7,14.6,1.9,1.8
142,Sr,6-10,Robbie Avila,Saint Louis,A10,34,Wing F,66.3,3.7,3.2,8.1,5.8,2.3,126.6,99.9,22.2,60.2,64.4,2.9,14.5,25.9,16.6,2.3,1.4
143,So,6-4,Zoom Diallo,Washington,B10,33,Scoring PG,73.3,3.7,3.2,4.2,3.5,0.7,112.5,103.2,28.5,51.7,56.3,3.6,11.7,30.3,17.8,0,1.3
144,Jr,6-5,Blue Cain,Georgia,SEC,33,Wing G,68.4,3.7,3.2,6.9,5.3,1.6,126.9,100.9,20.2,53.6,58.3,6.1,13.4,15.8,10.5,0.7,2.7
145,Jr,6-5,Michael McNair,Boston University,Pat,33,Wing G,89.6,3.7,1.7,2.8,4.8,-1.9,125,120.4,21.1,60.9,62.7,3.8,14,12.3,10.3,1.2,1.8
146,So,6-4,Trent Perry,UCLA,B10,35,Combo G,72,3.7,3.2,5.6,3.8,1.7,120.3,103.1,21,51.5,59.2,3.2,9,16.8,13,0.6,1.9
147,So,5-9,Jaquan Johnson,Bradley,MVC,33,Scoring PG,73.7,3.7,3.2,6.9,4.2,2.7,116.2,103.1,28.2,48.3,55.3,3.6,12.1,25.3,9.8,0.1,4.6
148,Sr,6-10,Trevon Brazile,Arkansas,SEC,36,Stretch 4,75.6,3.7,4.1,8.1,4.8,3.3,125.3,96.5,17.2,59.5,61.9,5.8,20.6,7.6,10.8,5.2,2.6
149,Fr,6-4,Gavin Sykes,Long Beach St.,BW,26,Wing G,72.3,3.7,2.1,1.9,4.5,-2.5,116.6,116.4,24.7,54.5,58.6,1.7,9.3,9.7,8.3,0.9,0.5
150,Jr,6-3,Jalen Cox,Colgate,Pat,29,Scoring PG,79.7,3.7,2.8,3.5,3,0.6,116.5,110.8,28,53.9,59.1,2.3,15.5,31.5,15.1,0.9,2.9
151,Sr,6-11,Rafael Castro,George Washington,A10,28,C,56.8,3.7,3.6,8.9,5.5,3.4,122.4,96.5,24.7,62.8,64.7,11.8,26.3,12.7,16,7.9,3.5
152,Sr,6-3,Derrian Ford,Temple,Amer,30,Wing G,86.4,3.7,2.6,1.3,3.1,-1.8,114.7,113.6,24.8,48.7,56.5,2.8,11.7,11.5,10.8,0.2,1.1
153,Sr,6-2,Meechie Johnson,South Carolina,SEC,32,Scoring PG,77.7,3.7,3.2,5.7,4.3,1.4,111.6,104.5,29,49,56.6,1.1,11.4,29.4,14.8,0.4,2.3
154,So,6-5,Nolan Minessale,St. Thomas,Sum,31,Scoring PG,79.1,3.7,3.2,4.6,3.3,1.3,114.2,105.5,31.6,54,58.8,2.9,13.8,25.9,13.7,2,3.1
155,Jr,6-7,Andrej Stojakovic,Illinois,B10,34,Wing F,59.7,3.7,3.3,5.1,3.5,1.6,119.5,97.8,23.8,53,57.8,6,13.1,7.4,12.7,1.9,0.9
156,Fr,6-7,Stefan Vaaks,Providence,BE,31,Combo G,72.1,3.7,2.3,3.5,4.6,-1,115.4,112.4,23.4,52.2,56.7,1.7,6.7,18.1,14.3,0.8,1.5
157,Sr,6-2,Kamrin Oriol,North Florida,ASun,30,Scoring PG,89.8,3.7,0.8,-0.5,3.3,-3.8,114.1,127.6,27.4,58.1,62.3,0.7,8.1,25.1,18.4,0.3,1.2
158,Jr,6-4,Money Williams,Montana,BSky,30,Scoring PG,79.6,3.7,2.8,2.4,2.7,-0.3,108,109.2,35.5,54.7,61.8,2.2,12.5,32.8,21.2,1,1.7
159,Sr,6-2,Jackson Paveletzke,Ohio,MAC,30,Scoring PG,91.7,3.7,2.1,0.6,2.5,-1.9,116.1,117.5,24.2,51.1,58,1.4,8.1,26.8,14.5,0,1.3
160,Sr,6-9,Jaxon Kohler,Michigan St.,B10,35,PF/C,68.8,3.7,4.1,9.1,6.3,2.8,124,91.1,20.1,58.8,61.5,12.8,25,9,14.7,3.1,1.3
161,Jr,6-4,Tyler Perkins,Villanova,BE,33,Wing G,73.8,3.7,3.6,6.9,5,1.9,120.4,99.4,21.1,53.2,56,5.9,15.7,10.4,7.5,1,2.4
162,Sr,7-0,Nate Bittle,Oregon,B10,25,PF/C,60.5,3.7,3.5,8,5.4,2.6,110.8,101.5,27.7,52.2,56.3,7.9,17.9,19.7,15.3,7,1.7
163,Jr,6-4,Christian Bliss,Delaware,CUSA,30,Scoring PG,97.5,3.7,2.8,1.2,1.8,-0.5,111.7,114,26.5,51.8,58.4,2.4,13.1,33.3,18.4,0.3,2.8
164,Jr,6-1,Sonny Wilson,Toledo,MAC,32,Scoring PG,92.2,3.7,2.6,2,3,-1,117.8,114.2,23.1,54,56.3,3.5,8.4,22,11.2,0.1,2.1
165,Sr,5-10,Kenyon Giles,Wichita St.,Amer,35,Combo G,89.4,3.7,3.9,5.5,3.6,1.9,116.6,102.9,23,51.5,53.5,1.2,6.7,7.8,9.2,0.1,2.7
166,Sr,6-2,Maurice Odum,Arizona St.,B12,33,Pure PG,84.2,3.7,3.4,4,3.8,0.2,108.9,105.4,26.6,51.3,56.3,1.5,8.9,34,20,0.3,2.3
167,Jr,6-8,Tyler Tejada,Towson,CAA,31,Wing F,87,3.6,3.5,4.3,3.4,0.9,115,105.9,25.3,47.9,54.1,3.5,13.4,14.2,11.5,1.4,1.5
168,Sr,6-7,Tyler Nickel,Vanderbilt,SEC,36,Wing G,75.9,3.6,3.4,6.6,5.8,0.8,126,102.5,16.9,59.6,61.7,2.5,9.6,6.9,8,1.9,1.4
169,Sr,6-6,Terry Anderson,High Point,BSth,33,Wing G,69.4,3.6,2.9,5.2,4.7,0.5,125,104.6,25.4,58,62.9,10.1,16,11.9,12.4,1.8,2.9
170,Sr,6-2,Cooper Noard,Cornell,Ivy,26,Wing G,71.1,3.6,1.1,2.2,5.9,-3.8,122.8,122.8,24.9,61.2,65.2,1.4,12.2,12.7,12.7,1,0.8
171,So,6-8,Hamad Mousa,Cal Poly,BW,30,Wing F,76.1,3.6,2.4,3.7,4.7,-1,114.1,112.7,27.2,52.9,60.2,3.7,17.2,12.9,16.3,1.2,1.6
172,So,6-10,Aiden Sherrell,Alabama,SEC,34,PF/C,57.6,3.6,3,8.6,5.5,3.1,129,98.4,19.4,59.5,62.7,10.4,15.2,8.2,11,8.5,1.3
173,So,6-3,Brett Decker Jr.,Liberty,CUSA,31,Wing G,85.3,3.6,1.9,1.3,4.7,-3.4,122,118.6,20.2,62.9,65.3,0.9,7.8,5.6,6.6,0.5,0.5
174,Fr,6-1,Leroy Blyden Jr.,Toledo,MAC,32,Scoring PG,84.8,3.6,2.8,4.2,3.7,0.5,118.9,110.4,23.6,54.5,58.7,2.6,11.5,23.2,13.7,0.9,3
175,Jr,6-8,Rashaud Marshall,Austin Peay,ASun,29,C,75.1,3.6,2.8,3.8,3.6,0.2,130.1,107.4,22.2,65.4,66.6,11.4,15.4,8.1,10,3.3,2
176,Sr,6-5,Denzel Aberdeen,Kentucky,SEC,36,Scoring PG,76.1,3.6,3.2,4.1,3.5,0.6,118.7,103.6,20.9,51.6,56,2.4,6.6,20.3,11.7,0.3,1.3
177,Sr,6-2,Javontae Campbell,Bowling Green,MAC,29,Scoring PG,87.9,3.6,3.9,5.7,2.7,3.1,113,102.1,28.4,51.9,57.3,3.9,10.6,29.7,15.9,0.8,4.4
178,Sr,6-8,Frank Mitchell,St. Bonaventure,A10,33,C,84.3,3.6,3.1,3,3.5,-0.5,112.3,108.2,26.5,56.3,57.3,14.8,21.1,16.4,18,1.8,2.6
179,Jr,6-4,Silas Demary Jr.,Connecticut,BE,39,Pure PG,68.8,3.6,4.3,8.1,3.4,4.8,117.4,90.7,22.5,50.9,57.2,4.3,14.3,35.8,21.3,1.1,3.4
180,Sr,6-6,Jaron Pierre Jr.,SMU,ACC,34,Wing G,82.4,3.6,3.4,3.8,3.7,0,113.9,104.5,23.3,54.5,56.7,2.6,13.7,11.1,13.6,1.7,1.7
181,Fr,6-8,Koa Peat,Arizona,B12,36,Wing F,63.9,3.6,4,7.4,4.3,3.1,116.2,92.4,24.4,53.7,55.7,9.1,12.5,16.7,13.3,2.5,1.3
182,So,6-4,Christian Hammond,Santa Clara,WCC,33,Combo G,73.4,3.5,2.9,3.7,3.5,0.3,117.4,106.9,22.9,54.8,58,2,9,14.6,14,0.2,2.1
183,Fr,6-4,Larry Johnson,McNeese St.,Slnd,32,Wing G,63.8,3.5,3,6.2,5.8,0.4,117.4,100.5,30.5,50.1,55.2,7.5,18,12.6,8.6,0,2.8
184,Sr,6-2,Tarence Guinyard,Duquesne,A10,30,Scoring PG,81.1,3.5,2.9,3.5,3.6,-0.1,114.5,109.5,24.9,54.5,58.3,1.3,10.1,28.4,16,0,2.2
185,Jr,6-2,Ryan Sabol,Buffalo,MAC,30,Combo G,91.1,3.5,1.8,0.8,4.2,-3.4,115.7,120.4,24.7,54.7,57.9,2.1,9.1,18.8,12.1,0.2,1.1
186,Sr,6-5,Tramon Mark,Texas,SEC,35,Wing G,70.6,3.5,3,5.8,4.5,1.3,120,104.1,22.1,53.6,56.7,4.1,10,11.8,10.4,2,1.9
187,Sr,6-5,Peter Suder,Miami OH,MAC,30,Combo G,76.6,3.5,3,3.8,2.7,1,122.9,107.4,23,59.3,62.1,5.2,11.6,22.7,14.5,1.3,2.3
188,So,6-11,Patrick Ngongba,Duke,ACC,32,C,46.1,3.5,3.6,9.4,4.4,5,126.9,87.2,22.5,62.8,64.5,12.4,17.8,16.7,16,6,1.6
189,Jr,7-2,Motiejus Krivas,Arizona,B12,39,C,63.2,3.5,4.3,9.6,4.4,5.2,126.5,85.6,19,57.7,63.8,14.4,19.8,7,15.8,7.5,1.6
190,Sr,6-1,Jason Edwards,Providence,BE,23,Scoring PG,45.1,3.5,2,3.2,4.3,-1,114.3,112.3,28.5,51.6,56.3,0.8,10.3,21.9,13.1,0.2,1.7
191,Sr,6-7,Javan Buchanan,Boise St.,MWC,29,Wing F,66.3,3.5,2.9,5.1,3.9,1.3,120.4,103.5,22.8,48.1,55.8,8.5,14.5,11.7,10.1,0.7,1.5
192,Jr,6-8,Amani Hansberry,Virginia Tech,ACC,30,Stretch 4,70.1,3.5,3.8,6.8,4.2,2.6,115,98.1,24.5,54.5,57.6,11,17.2,15.8,16.2,2.5,2.8
193,Sr,5-10,Honor Huff,West Virginia,B12,35,Combo G,88.2,3.5,4.1,4,2.7,1.3,112.7,101,22.8,50,56.8,0.7,6.9,11.8,13.2,0,1.7
194,Jr,5-10,Darryl Simmons II,St. Bonaventure,A10,33,Combo G,88.9,3.5,2.1,-0.2,2.1,-2.3,117.8,117.6,20.5,54,56.8,0.9,5.5,15,11.7,0,1.4
195,Sr,6-10,Aidan Kehoe,Navy,Pat,32,C,84.7,3.5,4.1,6.5,4.6,1.9,126.4,99.4,21,72.9,68,13.9,24,15.5,15.1,4.8,2.2
196,Sr,6-7,Bryce Hopkins,St. John's,BE,37,Wing G,71.8,3.5,4.1,7.3,4.5,2.8,116.8,93.2,22,51.4,55.8,7.3,16.4,12.7,11.3,0.9,2.1
197,Fr,6-7,Amari Allen,Alabama,SEC,32,Wing F,64,3.5,3.5,6.8,4,2.9,121.8,98.5,19.3,53.3,57,6.1,17.9,18.1,13.6,2.2,2
198,Jr,6-3,Corey Hadnot II,Purdue Fort Wayne,Horz,29,Combo G,86.2,3.5,2.6,3.8,3.7,0.1,112.7,112.3,28.9,56.8,58.8,1.4,11.9,23.7,12.6,1.2,3.1
199,Sr,6-6,Chaze Harris,South Alabama,SB,31,Pure PG,80.2,3.5,2.8,3.5,2.8,0.7,106.9,109.2,36.2,54.1,55.8,5.1,11.3,38,16.9,1.5,3
200,Jr,6-6,Devin Royal,Ohio St.,B10,32,Wing F,75.6,3.5,3.6,2.9,2.2,0.7,114.3,101.7,21.6,52.5,57.8,6.5,14.9,9.3,14.5,0.6,1.2
201,So,6-7,"Darin Smith, Jr.",Central Connecticut,NEC,28,Wing F,83.6,3.4,1.6,-0.4,2.8,-3.2,113.7,120.3,29.8,50.2,57.3,4.9,13.6,7.9,10.5,0.8,1.2
202,Sr,6-3,Seth Trimble,North Carolina,ACC,24,Combo G,58.8,3.4,4.1,4.1,1.9,2.2,113.4,97.9,21.7,50.8,54.8,3.6,9.1,16.6,11.3,0.6,2.3
203,Sr,6-5,Kody Clouet,Winthrop,BSth,31,Wing G,74.8,3.4,2.3,4.7,5,-0.3,132.1,111.8,17.6,59.4,63.9,3.9,13.9,9.4,9.1,0.9,1.6
204,Sr,6-4,Robert McCray V,Florida St.,ACC,33,Pure PG,72.2,3.4,3,5.1,4.2,0.9,106.7,104.1,32.3,51.5,54.8,3.3,11.4,43.8,21.5,2.1,2.5
205,Jr,6-9,Jake Ensminger,Santa Clara,WCC,31,Stretch 4,65.8,3.4,2.9,5.2,3.5,1.7,139.2,105.3,10.9,66.1,66.8,7.9,14.8,14.6,17,0.8,1.9
206,Sr,6-7,Brian Waddell,Bellarmine,ASun,30,Wing G,79.1,3.4,0.8,-0.4,3.1,-3.5,126.4,127.3,21.2,66.4,68.8,4.5,13.3,13.4,14.6,2.1,1.3
207,Jr,6-11,Drew Fielder,Boise St.,MWC,30,Stretch 4,57.7,3.4,2.6,7,5.9,1.2,119.4,101.9,27.9,59,62.6,9.3,19.5,11.7,15.5,2.6,1
208,Jr,6-0,Jordan Frison,Chattanooga,SC,29,Scoring PG,78.1,3.4,1.6,1.5,3.2,-1.7,122.5,119.6,25.4,60.7,64.1,1.7,10.7,29.6,13.7,0.5,1.5
209,So,6-1,Jeremiah Wilkinson,Georgia,SEC,31,Combo G,59.4,3.4,2.8,5.8,4.9,0.9,116.4,102.8,28.1,50.6,55.6,1.6,6.8,12.5,10.2,1.1,3.3
210,Jr,6-11,Cooper Bowser,Furman,SC,22,C,50.9,3.4,2.8,4.9,3.2,1.8,132.8,107.6,18,75.2,74,6,15.9,11.6,15.2,4.9,0.6
211,Sr,6-7,Elias Ralph,Pacific,WCC,31,Wing F,87.1,3.4,3.7,4.6,3.4,1.2,114.3,103.7,23.5,52.8,57.6,7,15.2,11.3,15.8,3.5,1.6
212,Sr,6-6,Justin Neely,UNC Greensboro,SC,32,PF/C,81.5,3.4,2.3,2.9,4.1,-1.2,119.4,114.2,26.3,55.6,62.8,8.5,32.1,15.3,15.9,0.7,1.5
213,So,6-5,Aiden Tobiason,Temple,Amer,31,Wing G,88.5,3.4,2.8,2.6,2.4,0.2,119,111.5,20.2,54.8,60.1,1.5,11.1,12,11.6,0.6,2.1
214,Jr,6-9,Keanu Dawes,Utah,B12,32,Stretch 4,76.6,3.4,2.9,4.4,4.2,0.3,118.3,107.1,19.9,60.5,62.8,7.5,25.8,13.8,17.3,1.2,1
215,So,6-6,Chance Westry,UAB,Amer,31,Pure PG,76.6,3.4,2.9,5.6,4.1,1.5,116.5,106.8,25.6,51,56,3.8,9.2,34.3,13.6,1.7,2.3
216,Sr,6-0,DeJour Reaves,Fordham,A10,29,Scoring PG,86,3.4,3.8,5.2,2.6,2.6,110.7,102.5,28,49.9,54.7,3.2,11.3,24.4,15.3,0.8,3.3
217,So,5-11,Amir Lindsey,Albany,AE,29,Scoring PG,95.8,3.4,1.5,-0.5,2,-2.5,114.9,123,25,50.6,54.6,1.5,9.1,26.2,13.4,0,2
218,Sr,6-1,Isaiah Moses,Eastern Washington,BSky,32,Scoring PG,83,3.4,1.9,1.3,3.6,-2.3,113.4,117.9,26.7,52.6,59.4,1.7,9.8,24.3,19.2,0.3,1.4
219,Sr,6-9,Marquel Sutton,LSU,SEC,32,Stretch 4,76.1,3.4,3,2.8,3.2,-0.4,120.7,105.5,19.1,51.2,57.2,8.8,17.5,3.9,9.4,1,1.1
220,Sr,6-7,Tre Carroll,Xavier,BE,32,Stretch 4,76.1,3.4,3,4.7,4.4,0.3,107.9,107,26.6,55.2,57.4,4.2,16.6,17.2,14.8,4.1,1.3
221,Jr,5-11,Ryan Beasley,San Francisco,WCC,30,Scoring PG,79.3,3.4,2.9,2.5,2.1,0.4,115.3,109.3,21.8,48.2,54.9,1.9,9.8,24.9,13.7,0.4,2.1
222,Jr,6-10,Kwame Evans Jr.,Oregon,B10,30,Stretch 4,72,3.4,3.7,5.8,3.6,2.3,113.7,100,22.4,51.1,58.1,8.2,20,13.5,16.5,5,1.9
223,Sr,6-7,David Green,Tulsa,Amer,34,Wing F,63.8,3.4,2.6,4.4,4.2,0.2,119,106.5,25.3,57.4,59.9,4.6,14,12.8,11.8,2.9,1.3
224,Sr,6-4,Jordan Riley,East Carolina,Amer,30,Wing G,93.4,3.4,3.3,4.2,3.8,0.4,104.3,108.8,32.1,44.7,49.9,4.5,13.5,16.4,11.1,1.5,3
225,Jr,7-3,Aday Mara,Michigan,B10,40,C,58.3,3.4,4.1,12.7,5.2,7.6,119.5,83.9,23.8,67.3,65.8,10.4,20.4,19,19.8,12,0.8
226,Jr,6-9,Jordan Burks,UCF,B12,33,Wing F,69.8,3.4,3,6.2,4.7,1.5,120.9,103.5,19.3,54.5,58.1,5.4,14.1,4.2,9.2,2,2.1
227,Jr,6-3,Tylen Riley,Tulsa,Amer,36,Scoring PG,69.5,3.4,2.7,2.4,2.3,0.1,113.6,106.7,28.9,47.4,57.3,2.7,12.6,30.5,19.1,0.6,1.9
228,Sr,6-9,Ezra Ausar,USC,B10,31,C,74.2,3.3,3.4,3.3,2,1.4,114.5,101.4,23.4,57.6,61.4,9.9,15.1,11.7,16.7,1.6,1.9
229,Sr,6-5,Nate Kingz,Syracuse,ACC,32,Wing G,76.8,3.3,3.1,5.1,3.9,1.2,123.7,105.5,16.4,60.5,61,3.4,9.8,7.6,8.2,2,1.6
230,Jr,7-1,Tomislav Ivisic,Illinois,B10,34,PF/C,57.5,3.3,3.3,6.9,4.3,2.6,122.7,96,19.9,57.6,59.7,8,16.7,11.2,16.4,2.6,0.7
231,So,6-1,Tahaad Pettiford,Auburn,SEC,38,Combo G,79.9,3.3,3.1,2.7,2.7,0,109.4,106.6,25.2,46.6,51.4,1.5,9.6,22.5,16,2.1,1.9
232,Fr,6-2,Kevair Kennedy,Merrimack,MAAC,34,Scoring PG,91,3.3,3.3,1.7,1.8,-0.1,107.6,108.2,30.4,46.6,55.6,4.6,10.6,29.1,16.8,0.3,3.2
233,Sr,6-1,Jordan Pope,Texas,SEC,35,Combo G,72.3,3.3,2.6,2.4,3.2,-0.8,120.2,108.5,20.1,50.5,54.9,2,6.5,10.8,8.8,0.2,0.8
234,So,5-11,Ben Hammond,Virginia Tech,ACC,32,Scoring PG,76.6,3.3,3.5,5.6,2.2,3.4,118.6,101.7,20.6,51,57.5,1.4,7.1,19.2,13.1,0.3,3.7
235,Sr,6-8,Chandler Cuthrell,Elon,CAA,30,Wing F,70.4,3.3,2,2.1,3.7,-1.6,111,113.6,33.7,51.1,56.9,7.5,18.6,13.6,14.1,1.6,2.3
236,Sr,6-0,D.J. Smith,Campbell,CAA,32,Combo G,87.6,3.3,2.5,2.1,2.9,-0.7,112.7,113.8,24.9,48.2,54.8,2.8,9.2,11.8,12.6,0.3,2.5
237,So,6-8,Derrion Reid,Oklahoma,SEC,37,Wing F,67.8,3.3,2.4,3.8,4.1,-0.3,125.2,108.4,18.8,57.1,62.1,6.4,12,7.3,11.6,1,1
238,Sr,6-6,Travis Harper II,Tennessee St.,OVC,30,Wing G,79.1,3.3,2.1,3.2,4.5,-1.3,123.5,115.3,21.3,57.6,62.2,3.3,10,6.3,12.5,1.4,2
239,Sr,6-4,Jemel Jones,New Mexico St.,CUSA,29,Combo G,70.6,3.3,2.7,7.2,5.7,1.4,113,107.2,30,46.3,52.7,4.2,12.8,19.7,9.3,2.2,2.8
240,Sr,6-8,RJ Godfrey,Clemson,ACC,35,PF/C,62.5,3.3,3.3,6.6,3.7,2.9,120.6,96.2,23.6,61.5,63.1,8.4,17.1,14.6,14.1,3.1,1.5
241,So,6-1,Damarion Dennis,Wyoming,MWC,31,Wing G,58.1,3.3,2.4,6.3,5.3,1,131.2,105.9,19,58.5,62.6,5.1,11.1,11.9,8.4,1.3,2.1
242,Sr,6-11,Baba Miller,Cincinnati,B12,31,PF/C,74.6,3.3,5.2,8.5,3.1,5.3,112.7,87.5,22.3,54.6,57.6,8.3,27.7,23.3,17.8,4.2,1.3
243,Sr,6-10,Rienk Mast,Nebraska,B10,34,Stretch 4,70.4,3.3,3.9,4.8,3.1,1.6,112.5,95.5,25.8,50.8,54,9.4,13.5,20.8,13.4,1.4,0.8
244,Sr,6-3,Latrell Wrightsell Jr.,Alabama,SEC,27,Combo G,52.3,3.3,3,5.4,3.9,1.5,119.3,102.4,19.6,53.4,56,1.7,9.2,11.8,8.6,0.1,2.1
245,Sr,6-4,Tavarus Webb,Georgia Southern,SB,35,Combo G,80.8,3.3,2.2,2.7,2.8,-0.1,121.8,114.6,21.5,55.9,61.9,4,12.3,14.2,13.6,2.2,2.8
246,Sr,6-5,JJ Harper,Liberty,CUSA,31,Wing G,67.6,3.3,2.2,3.8,2.7,1.1,131.5,111.2,17.4,64.2,66.8,4.5,8.2,9.9,7.2,4,2.8
247,Sr,6-6,Jevin Muniz,Colorado St.,MWC,33,Scoring PG,77.2,3.3,2.7,3.8,2.7,1.1,121.8,108.8,19,54.8,57.3,3.4,12.9,31.1,16.4,0.7,1.8
248,Sr,6-8,Jamichael Stillwell,UCF,B12,31,PF/C,66.1,3.2,3.1,5.1,3.4,1.7,117.3,102.3,21.3,52.6,56.2,13.1,19.5,13.3,15.1,0.6,2.1
249,Jr,6-10,Lazar Djokovic,VCU,A10,35,PF/C,67,3.2,3,4.1,3,1.1,120.6,102.8,21.8,54.2,61.8,7.6,13.6,7.3,13.9,4.5,1.1
250,Jr,5-11,Marcus Millender,Georgia,SEC,33,Scoring PG,64.3,3.2,2.6,4.6,4.6,0,122.1,104.8,21.5,55.6,59.4,2.6,8.6,26,17,0,2
251,Fr,6-0,Nigel James Jr.,Marquette,BE,32,Pure PG,72.2,3.2,3.4,7,4.3,2.6,106.5,100.3,30.3,52,54.7,2.8,10.5,37.3,17.9,1.2,3.7
252,Jr,6-10,Trent Pierce,Missouri,SEC,20,Wing F,42.7,3.2,3.4,5.7,3.8,2,126.7,99.8,15,59.7,61,4.5,10.9,7.3,10.2,1.3,2.2
253,Sr,6-9,Wyatt Fricks,Marshall,SB,31,Stretch 4,73.5,3.2,2.4,3.2,3.5,-0.3,124.8,111.2,20.9,62.7,63.8,5.8,14.6,8.5,11,5.7,1.6
254,Sr,6-8,John Camden,California,ACC,32,Wing F,75.9,3.2,3.4,4.4,3.5,0.9,120.9,103,18.6,57.8,61.1,3.1,13.2,9.9,9.8,0.6,1.3
255,Sr,6-10,Chauncey Wiggins,Florida St.,ACC,32,Stretch 4,67.5,3.2,2.5,4,4.4,-0.4,123.3,108.1,18.4,59.5,62.4,3.6,11.8,6.3,10.5,0.9,0.6
256,Fr,6-7,Jalen Haralson,Notre Dame,ACC,27,Wing G,57,3.2,2.4,3.5,3.7,-0.2,106.3,108,33.4,52.3,56.5,6.4,10.9,22.9,18.4,1.3,1.2
257,Sr,6-6,Corey Washington,SMU,ACC,34,Wing F,68.8,3.2,2.9,3.2,2.6,0.6,125.2,104.4,17.4,56.8,61.2,7.9,11.9,5,11.7,2.1,1.9
258,Fr,6-7,DJ Hall,Texas St.,SB,30,Wing F,74.9,3.2,2.8,4.2,4,0.2,118.3,107.6,25.6,54.5,59.5,9.7,21.8,16.4,14.6,1.6,2.4
259,Jr,6-10,Michael Nwoko,LSU,SEC,32,C,53.1,3.2,2.3,4.1,3.4,0.7,119.7,103.3,27.6,61,65.3,13.2,17.9,8.1,17.4,4.2,1.2
260,So,6-3,C.J. Cox,Purdue,B10,39,Wing G,60.9,3.2,2.7,6.3,4.8,1.5,133,102.4,14.3,57.8,59.8,4.2,9.9,8.3,5.4,0.5,1.3
