Pk,Player,College,draft_year,Season,num_years_college
2,Emeka Okafor,UConn,2004,2004,3
3,Ben Gordon,UConn,2004,2004,3
5,Devin Harris,Wisconsin,2004,2004,3
6,Josh Childress,Stanford,2004,2004,3
7,Luol Deng,Duke,2004,2004,1
8,Rafael Araujo,BYU,2004,2004,2
9,Andre Iguodala,Arizona,2004,2004,2
10,Luke Jackson,Oregon,2004,2004,4
14,Kris Humphries,Minnesota,2004,2004,1
16,Kirk Snyder,Nevada,2004,2004,3
20,Jameer Nelson,Saint Joseph's,2004,2004,4
24,Delonte West,Saint Joseph's,2004,2004,3
25,Tony Allen,Oklahoma State,2004,2004,2
26,Kevin Martin,Western Carolina University,2004,2004,3
29,David Harrison,Colorado,2004,2004,3
31,Jackson Vroman,Iowa State,2004,2004,2
33,Lionel Chalmers,Xavier,2004,2004,4
34,Donta Smith,Southeastern Illinois College,2004,2004,3
35,Andre Emmett,Texas Tech,2004,2004,4
36,Antonio Burks,Memphis,2004,2004,3
37,Royal Ivey,Texas,2004,2004,4
38,Chris Duhon,Duke,2004,2004,4
40,Justin Reed,Ole Miss,2004,2004,4
41,David Young,NC Central,2004,2004,4
43,Trevor Ariza,UCLA,2004,2004,1
44,Tim Pickett,Florida State,2004,2004,2
45,Bernard Robinson,Michigan,2004,2004,4
47,Pape Sow,Cal State Fullerton,2004,2004,3
48,Ricky Minard,Morehead State University,2004,2004,4
51,Christian Drejer,Florida,2004,2004,2
52,Romain Sato,Xavier,2004,2004,4
53,Matt Freije,Vanderbilt,2004,2004,4
54,Rickey Paulding,Missouri,2004,2004,4
55,Luis Flores,Manhattan University,2004,2004,4
56,Marcus Douthit,Providence,2004,2004,4
58,Blake Stepp,Gonzaga,2004,2004,4
59,Rashad Wright,Georgia,2004,2004,4
1,Andrew Bogut,Utah,2005,2005,2
2,Marvin Williams,UNC,2005,2005,1
3,Deron Williams,Illinois,2005,2005,3
4,Chris Paul,Wake Forest,2005,2005,2
5,Raymond Felton,UNC,2005,2005,3
7,Charlie Villanueva,UConn,2005,2005,2
8,Channing Frye,Arizona,2005,2005,4
9,Ike Diogu,Arizona State,2005,2005,3
13,Sean May,UNC,2005,2005,3
14,Rashad McCants,UNC,2005,2005,3
15,Antoine Wright,Texas A&M,2005,2005,3
16,Joey Graham,Oklahoma State,2005,2005,4
17,Danny Granger,New Mexico,2005,2005,4
19,Hakim Warrick,Syracuse,2005,2005,4
20,Julius Hodge,NC State,2005,2005,4
21,Nate Robinson,Washington,2005,2005,3
22,Jarrett Jack,Georgia Tech,2005,2005,3
23,Francisco Garcia,Louisville,2005,2005,3
24,Luther Head,Illinois,2005,2005,4
26,Jason Maxiell,Cincinnati,2005,2005,4
27,Linas Kleiza,Missouri,2005,2005,2
29,Wayne Simien,Kansas,2005,2005,4
30,David Lee,Florida,2005,2005,4
31,Salim Stoudamire,Arizona,2005,2005,4
32,Daniel Ewing,Duke,2005,2005,4
33,Brandon Bass,LSU,2005,2005,2
37,Ronny Turiaf,Gonzaga,2005,2005,4
38,Travis Diener,Marquette,2005,2005,4
39,Von Wafer,Florida State,2005,2005,2
42,Chris Taft,Pitt,2005,2005,2
47,Bracey Wright,Indiana,2005,2005,3
50,Ryan Gomes,Providence,2005,2005,4
51,Robert Whaley,Walsh University,2005,2005,2
53,Orien Greene,Louisiana,2005,2005,4
54,Dijon Thompson,UCLA,2005,2005,4
55,Lawrence Roberts,Mississippi State,2005,2005,4
60,Alex Acker,Pepperdine,2005,2005,3
2,LaMarcus Aldridge,Texas,2006,2006,2
3,Adam Morrison,Gonzaga,2006,2006,3
4,Tyrus Thomas,LSU,2006,2006,1
5,Shelden Williams,Duke,2006,2006,4
6,Brandon Roy,Washington,2006,2006,4
7,Randy Foye,Villanova,2006,2006,4
8,Rudy Gay,UConn,2006,2006,2
9,Patrick O'Bryant,Bradley,2006,2006,2
11,JJ Redick,Duke,2006,2006,4
12,Hilton Armstrong,UConn,2006,2006,4
14,Ronnie Brewer,Arkansas,2006,2006,3
15,Cedric Simmons,NC State,2006,2006,2
16,Rodney Carney,Memphis,2006,2006,4
17,Shawne Williams,Memphis,2006,2006,4
19,Quincy Douby,Rutgers University,2006,2006,3
20,Renaldo Balkman,South Carolina,2006,2006,3
21,Rajon Rondo,Kentucky,2006,2006,2
22,Marcus Williams,UConn,2006,2006,3
23,Josh Boone,UConn,2006,2006,3
24,Kyle Lowry,Villanova,2006,2006,2
25,Shannon Brown,Michigan State,2006,2006,3
26,Jordan Farmar,UCLA,2006,2006,2
28,Maurice Ager,Michigan State,2006,2006,4
29,Mardy Collins,Temple,2006,2006,4
31,James White,Cincinnati,2006,2006,4
32,Steve Novak,Marquette,2006,2006,4
33,Solomon Jones,South Florida,2006,2006,2
34,Paul Davis,Michigan State,2006,2006,4
35,P.J. Tucker,Texas,2006,2006,3
36,Craig Smith,Boston College,2006,2006,4
37,Bobby Jones,Washington,2006,2006,4
39,David Noel,UNC,2006,2006,4
40,Denham Brown,UConn,2006,2006,4
41,James Augustine,Illinois,2006,2006,4
42,Daniel Gibson,Texas,2006,2006,2
45,Alexander Johnson,Florida State,2006,2006,3
46,Dee Brown,Illinois,2006,2006,4
47,Paul Millsap,Louisiana Tech,2006,2006,3
49,Leon Powe,California,2006,2006,2
50,Ryan Hollins,UCLA,2006,2006,4
52,Guillermo Diaz,Miami (FL),2006,2006,3
54,Hassan Adams,Arizona,2006,2006,4
58,J.R. Pinnock,George Washington,2006,2006,3
60,Will Blalock,Iowa State,2006,2006,3
1,Greg Oden,Ohio State,2007,2007,1
2,Kevin Durant,Texas,2007,2007,1
3,Al Horford,Florida,2007,2007,3
4,Mike Conley,Ohio State,2007,2007,1
5,Jeff Green,Georgetown,2007,2007,3
7,Corey Brewer,Florida,2007,2007,3
8,Brandan Wright,UNC,2007,2007,1
9,Joakim Noah,Florida,2007,2007,3
10,Spencer Hawes,Washington,2007,2007,1
11,Acie Law,Texas A&M,2007,2007,4
12,Thaddeus Young,Georgia Tech,2007,2007,1
13,Julian Wright,Kansas,2007,2007,2
14,Al Thornton,Florida State,2007,2007,4
15,Rodney Stuckey,Eastern Washington,2007,2007,2
16,Nick Young,USC,2007,2007,3
17,Sean Williams,Boston College,2007,2007,3
19,Javaris Crittenton,Georgia Tech,2007,2007,1
20,Jason Smith,Colorado State,2007,2007,3
21,Daequan Cook,Ohio State,2007,2007,1
22,Jared Dudley,Boston College,2007,2007,4
23,Wilson Chandler,DePaul,2007,2007,2
25,Morris Almond,Rice University,2007,2007,4
26,Aaron Brooks,Oregon,2007,2007,4
27,Arron Afflalo,UCLA,2007,2007,3
29,Alando Tucker,Wisconsin,2007,2007,4
31,Carl Landry,Purdue,2007,2007,3
32,Gabe Pruitt,USC,2007,2007,3
33,Marcus Williams,Arizona,2007,2007,2
34,Nick Fazekas,Nevada,2007,2007,4
35,Glen Davis,LSU,2007,2007,3
36,Jermareo Davidson,Alabama,2007,2007,4
37,Josh McRoberts,Duke,2007,2007,2
41,Chris Richard,Florida,2007,2007,4
42,Derrick Byars,Vanderbilt,2007,2007,4
43,Adam Haluska,Iowa,2007,2007,4
44,Reyshawn Terry,UNC,2007,2007,4
45,Jared Jordan,Marist College,2007,2007,4
46,Stephane Lasme,UMass,2007,2007,4
47,Dominic McGuire,Fresno State,2007,2007,3
49,Aaron Gray,Pitt,2007,2007,4
51,JamesOn Curry,Oklahoma State,2007,2007,3
52,Taurean Green,Florida,2007,2007,3
53,Demetris Nichols,Syracuse,2007,2007,4
55,Herbert Hill,Providence,2007,2007,4
56,Ramon Sessions,Nevada,2007,2007,3
57,Sammy Mejia,DePaul,2007,2007,4
59,D.J. Strawberry,Maryland,2007,2007,4
1,Derrick Rose,Memphis,2008,2008,1
2,Michael Beasley,Kansas State,2008,2008,1
3,O.J. Mayo,USC,2008,2008,1
4,Russell Westbrook,UCLA,2008,2008,2
5,Kevin Love,UCLA,2008,2008,1
7,Eric Gordon,Indiana,2008,2008,1
8,Joe Alexander,West Virginia,2008,2008,3
9,D.J. Augustin,Texas,2008,2008,2
10,Brook Lopez,Stanford,2008,2008,2
11,Jerryd Bayless,Arizona,2008,2008,1
12,Jason Thompson,Rider University,2008,2008,4
13,Brandon Rush,Kansas,2008,2008,3
14,Anthony Randolph,LSU,2008,2008,1
15,Robin Lopez,Stanford,2008,2008,2
16,Marreese Speights,Florida,2008,2008,2
17,Roy Hibbert,Georgetown,2008,2008,4
18,JaVale McGee,Nevada,2008,2008,2
19,JJ Hickson,NC State,2008,2008,1
21,Ryan Anderson,California,2008,2008,2
22,Courtney Lee,Western Kentucky,2008,2008,4
23,Kosta Koufos,Ohio State,2008,2008,1
26,George Hill,IUPUI,2008,2008,4
27,Darrell Arthur,Kansas,2008,2008,2
28,Donte Greene,Syracuse,2008,2008,1
29,D.J. White,Indiana,2008,2008,4
30,J.R. Giddens,New Mexico,2008,2008,4
32,Walter Sharpe,UAB,2008,2008,3
33,Joey Dorsey,Memphis,2008,2008,4
34,Mario Chalmers,Kansas,2008,2008,3
35,DeAndre Jordan,Texas A&M,2008,2008,1
37,Luc Mbah a Moute,UCLA,2008,2008,3
38,Kyle Weaver,Washington State,2008,2008,4
39,Sonny Weems,Arkansas,2008,2008,2
40,Chris Douglas-Roberts,Memphis,2008,2008,3
42,Sean Singletary,Virginia,2008,2008,4
43,Patrick Ewing Jr.,Georgetown,2008,2008,4
46,Trent Plaisted,BYU,2008,2008,4
47,Henry Walker,Kansas State,2008,2008,2
48,Malik Hairston,Oregon,2008,2008,4
49,Richard Hendrix,Alabama,2008,2008,3
50,DeVon Hardin,California,2008,2008,4
51,Shan Foster,Vanderbilt,2008,2008,4
52,Darnell Jackson,Kansas,2008,2008,4
54,Maarty Leunen,Oregon,2008,2008,4
55,Mike Taylor,Iowa State,2008,2008,1
56,Sasha Kaun,Kansas,2008,2008,4
57,James Gist,Maryland,2008,2008,4
58,Joe Crawford,Kentucky,2008,2008,4
59,Deron Washington,Virginia Tech,2008,2008,4